Gauge Data,Gauge Data,Gauge Data,Gauge Data,Gauge Data,Gauge Data,cont,cont,cont,cont,cont,cont,cont,cont,cont,cont,cont,nom,cont,cont,cont,cont,cont,cont,cont,cont,cont,cont,cont,cont,cont,cont,cont,cont,cont,cont,cont,nom,cont,cont,nom,cont,cont,cont,cont,cont,cont,cont,cont,cont,cont,cont,cont,cont,cont,cont,cont,cont,nom,cont,nom,cont,cont,cont,
gauge_id,huc_02,gauge_name,gauge_state_short,gauge_lat,gauge_lon,elev_mean,slope_mean,area_gages2,p_mean,pet_mean,high_prec_freq,q_mean,runoff_ratio,baseflow_index,zero_q_freq,forest_frac,dom_land_cover,dom_land_cover_frac,soil_depth_pelletier,sand_frac,silt_frac,clay_frac,carb_rocks_frac,mean_ph,num_ph_samples,mean_temp,num_temp_samples,high_q_freq,gvf_max,lai_max,water_frac,organic_frac,aridity,p_seasonality,frac_snow,high_prec_dur,high_prec_timing,low_prec_freq,low_prec_dur,low_prec_timing,stream_elas,slope_fdc,hfd_mean,q5,q95,high_q_dur,low_q_dur,low_q_freq,lai_diff,gvf_diff,root_depth_50,root_depth_99,soil_depth_statsgo,soil_porosity,soil_conductivity,max_water_content,other_frac,geol_1st_class,geol_1st_class_frac,geol_2nd_class,geol_2nd_class_frac,geol_porosity,geol_permeability,DOC_Class
1013500,1,Fish River near Fort Kent,ME,47.23739,-68.58264,250,22,2253,3.1,2,13,1.7,0.54,0.59,0,0.91,8,NA,7.4,28,55,16,0,7,4,7.2,112,6,0.8,4.2,5.4,0,0.6,0.2,0.3,1.3,4,202,3.4,2,1.8,1.5,207,0.2,6.4,9,20,41,3.3,0.37,NA,NA,1.2,0.46,1.1,0.56,0,11,0.8,4,0.2,0.17,-14.7,High
1022500,1,Narraguagus River at Cherryfield,ME,44.60797,-67.93524,90,18,574,3.6,2.1,21,2.17,0.6,0.55,0,0.92,8,0.82,17.4,59,28,12,0,6.5,106,9.9,142,4,0.86,4.9,1.2,0,0.6,-0.1,0.2,1.2,4,234,3.7,3,1.7,1.8,166,0.2,7.1,2,17,65,3.7,0.34,0.24,2.2,1.5,0.42,2.4,0.63,0,1,0.6,11,0.2,0.07,-14.21,High
1030500,1,Mattawamkeag River near Mattawamkeag,ME,45.50097,-68.30596,140,13,3676,3.3,2,17,1.82,0.56,0.51,0,0.88,8,0.98,19,32,52,15,0.1,NA,0,8.2,104,12,0.86,4.7,1.6,1,0.6,0,0.3,1.2,4,216,3.5,1,1.4,1.9,185,0.1,6.9,7,19,89,3.7,0.35,NA,NA,1.5,0.46,1.3,0.65,0,11,0.6,8,0.3,0.12,-14.49,High
1031500,1,Piscataquis River near Dover-Foxcroft,ME,45.17501,-69.3147,250,30,769,3.5,2.1,19,2.03,0.58,0.45,0,0.95,8,1,7.3,35,51,13,0,7.1,1,8.6,141,19,0.87,4.9,0.7,0,0.6,0.1,0.3,1.1,4,227,3.5,1,1.6,1.5,181,0.1,8,3,15,95,4,0.4,0.25,2.4,1.3,0.45,1.4,0.56,0,11,0.4,8,0.4,0.07,-14.84,High
1047000,1,Carrabassett River near North Anson,ME,44.8692,-69.9551,310,50,909,3.3,2.1,20,2.18,0.66,0.47,0,0.99,8,0.85,5.4,55,34,10,0,7.5,2,8.6,106,15,0.89,5.1,0,0,0.6,0.1,0.3,1.2,4,236,3.7,1,1.5,1.4,185,0.2,8.1,3,13,72,4.3,0.45,0.24,2.3,1.4,0.42,2.6,0.56,0,8,0.3,1,0.3,0.05,-14.48,High
1052500,1,Diamond River near Wentworth Location,NH,44.87739,-71.05749,620,60,384,3.7,2.1,14,2.41,0.64,0.46,0,1,8,0.59,1.3,31,53,11,0,6.7,2,7.5,91,14,0.88,4.8,0,0,0.6,0.2,0.4,1.1,3,194,2.9,2,1,1.3,197,0.3,8.7,3,7,59,4.1,0.48,0.23,2.2,1.5,0.45,1.3,0.62,6,11,0.5,8,0.4,0.07,-15.17,Low
1054200,1,Wild River at Gilead,ME,44.39044,-70.97964,470,90,181,4.1,2.1,18,2.73,0.67,0.44,0,1,8,0.58,0.9,58,32,10,0,6.4,536,9,502,16,0.89,5,0,0,0.5,0.1,0.3,1.2,4,220,3.3,2,1.4,1.3,183,0.3,10.1,2,10,82,4.3,0.46,0.22,2.2,1.5,0.42,2.9,0.59,0,8,0.9,11,0.1,0.03,-14.21,Low
1121000,1,MOUNT HOPE RIVER NEAR WARRENVILLE,CT,41.84371,-72.16897,140,17,70,3.7,2.3,22,1.96,0.53,0.54,0,0.97,5,0.98,9,56,29,9,0,6.7,18,13,18,6,0.91,5.4,0,0,0.6,0,0.2,1.2,4,242,3.7,4,1.2,1.9,156,0.1,6,1,10,85,4.8,0.5,0.19,2,1.5,0.42,3.1,0.57,6,8,1,NA,0,0.01,-14.1,Low
1123000,1,LITTLE RIVER NEAR HANOVER,CT,41.67177,-72.0523,120,17,78,3.8,2.3,21,1.74,0.45,0.59,0,0.91,5,1,9.1,53,28,9,0,7,7,17.4,7,5,0.91,5.4,0,0,0.6,0,0.1,1.2,4,241,3.9,4,1,1.8,159,0.2,5,1,9,58,4.8,0.51,0.19,2,1.5,0.42,3.1,0.53,11,8,1,NA,0,0.01,-14.1,Low
1137500,1,AMMONOOSUC RIVER AT BETHLEHEM JUNCTION,NH,44.26867,-71.63036,780,110,229,4,2.1,16,2.38,0.6,0.54,0,1,8,0.91,1.6,54,30,9,0,7,68,7,216,8,0.87,4.5,0,0,0.5,0.2,0.3,1.3,4,204,3,2,1.4,1.4,189,0.5,7.5,2,7,17,3.7,0.39,0.24,2.4,1.2,0.42,2.8,0.48,7,1,0.8,8,0.2,0.01,-14.1,Low
1144000,1,WHITE RIVER AT WEST HARTFORD,VT,43.71424,-72.41815,460,60,1790,3.4,2.2,19,1.86,0.54,0.56,0,0.98,5,0.73,2.1,45,41,13,0.3,7.4,163,10.4,329,6,0.9,5.2,0,0,0.6,0.2,0.2,1.1,3,225,3.3,2,1.7,1.5,182,0.2,6,2,10,42,4.5,0.49,0.2,2,1.3,0.44,1.9,0.57,1,8,0.7,5,0.3,0.03,-13.38,Low
1170100,1,GREEN RIVER NEAR COLRAIN,MA,42.70342,-72.67065,330,49,107,3.9,2.2,20,2.17,0.56,0.54,0,1,8,0.86,3.7,48,40,12,0.3,7.5,320,9.1,378,7,0.9,5.4,0,0,0.6,0.1,0.2,1.1,4,226,3.4,4,1.4,1.6,174,0.2,7.2,2,9,62,4.6,0.46,0.24,2.3,1.2,0.43,2,0.49,0,8,0.5,5,0.3,0.04,-13.71,Low
1187300,1,HUBBARD RIVER NR. WEST HARTLAND,CT,42.03732,-72.93899,310,38,54,4,2.3,21,2,0.51,0.44,0,0.99,5,0.87,7,47,32,12,0,6.9,10,15.4,9,12,0.89,5.4,0,0,0.6,0.1,0.2,1.2,4,237,3.6,4,0.7,1.6,159,0.1,6.9,2,11,92,4.5,0.41,0.2,2.1,1.2,0.43,1.9,0.51,0,11,0.7,1,0.1,0.14,-14.88,Low
1411300,2,TUCKAHOE RIVER AT HEAD OF RIVER NJ,NJ,39.30694,-74.82056,20,2,79,3.2,2.5,23,1.19,0.37,0.72,0,0.85,8,0.92,49.3,40,14,6,0,5.2,84,15.1,79,1,0.89,5.4,0,0,0.8,0,0,1.3,4,262,4.7,4,1.1,1.3,175,0.3,3,2,5,4,4.6,0.44,0.25,2.4,1.5,0.41,3.5,0.37,40,12,1,NA,0,0.22,-13,High
1414500,2,MILL BROOK NEAR DUNRAVEN NY,NY,42.1062,-74.73043,780,60,64,4,2.2,19,2.24,0.56,0.53,0,1,5,1,1.1,25,43,13,0,7.3,13,14.6,11,5,0.89,5.1,0.7,0,0.6,0.2,0.2,1.2,4,224,3.2,4,1.2,1.7,160,0.2,6.7,2,13,60,4.6,0.52,0.19,2,0.7,0.46,1.1,0.3,6,11,1,NA,0,0.19,-15.2,Low
1434025,2,BISCUIT BK ABOVE PIGEON BK AT FROST VALLEY NY,NY,41.99537,-74.50099,730,59,10,4.4,2.3,19,2.82,0.63,0.49,0,1,5,1,0.8,25,40,12,0,6.1,3054,7.5,2344,8,0.89,5.1,0,0,0.5,0.1,0.2,1.2,4,225,3.2,4,0.7,1.4,164,0.2,9.1,1,10,52,4.6,0.54,0.19,2,0.7,0.46,1,0.29,0,11,1,NA,0,0.19,-15.2,Low
1435000,2,NEVERSINK RIVER NEAR CLARYVILLE NY,NY,41.89009,-74.58988,560,55,172,4.3,2.3,20,2.97,0.69,0.54,0,1,5,1,1.1,28,44,14,0,6.2,1278,8.3,1258,6,0.9,5.2,0,0,0.5,0.1,0.2,1.2,4,227,3.3,4,1.2,1.3,165,0.4,8.7,1,11,39,4.6,0.52,0.19,2,0.7,0.46,1.1,0.32,0,11,1,13,0,0.19,-15.2,Low
1440000,2,FLAT BROOK NEAR FLATBROOKVILLE NJ,NJ,41.10667,-74.95222,230,29,168,3.5,2.3,20,1.8,0.51,0.59,0,0.91,5,1,4.2,33,34,11,0.1,7.8,297,11.8,278,4,0.9,5.3,0,0,0.7,0.1,0.1,1.2,4,242,3.9,4,1,1.6,160,0.2,5.2,2,16,56,4.8,0.53,0.19,2,1.5,0.44,1.7,0.5,21,11,0.8,5,0.1,0.18,-14.23,Low
1466500,2,MCDONALDS BRANCH IN LEBANON STATE FOREST NJ,NJ,39.885,-74.50528,40,3,5,3.5,3.1,23,0.85,0.24,0.84,0,1,8,1,49.6,83,7,3,0,4.3,865,10.9,744,0,0.82,4.2,0,0,0.9,0.1,0.1,1.3,3,258,4.5,4,0.2,1,181,0.4,1.6,2,0,0,2.8,0.24,0.25,2.4,1.5,0.38,8,0.6,7,12,1,NA,0,0.22,-13,High
1485500,2,NASSAWANGO CREEK NEAR SNOW HILL,MD,38.22892,-75.47144,20,2,142,3.2,2.6,23,0.92,0.28,0.48,0,0.87,8,0.86,47.8,53,15,6,0,6,84,12.7,176,12,0.83,4.7,0,0,0.8,0.1,0,1.2,3,258,4.4,4,1.7,1.8,160,0,3.3,3,15,107,3.3,0.26,0.24,2.3,1.5,0.4,4.3,0.46,26,12,1,NA,0,0.28,-10.9,High
1545600,2,Young Womans Creek near Renovo,PA,41.38951,-77.69082,520,54,120,3.4,2.3,18,1.52,0.45,0.51,0,1,5,1,1,47,37,16,0,6.9,663,9.5,658,7,0.9,5.2,0,0,0.7,0.2,0.2,1.1,3,220,3.1,3,1.1,1.8,164,0.1,5.1,3,17,85,4.6,0.5,0.19,2,1.5,0.43,1.9,0.63,0,11,1,NA,0,0.22,-14.16,Low
1658500,2,S F QUANTICO CREEK NEAR INDEPENDENT HILL,VA,38.58734,-77.4286,100,7,19,3.2,2.7,22,0.96,0.3,0.38,0.01,1,5,0.71,1,45,35,21,0,6.8,336,12.5,361,18,0.89,5.4,0,0,0.8,0.1,0.1,1.2,4,257,4.7,4,1.9,1.3,163,0,3.3,1,12,126,4.7,0.47,0.21,2.1,1.5,0.43,1.6,0.65,0,8,0.6,11,0.4,0.12,-13.41,Low
2038850,2,HOLIDAY CREEK NEAR ANDERSONVILLE,VA,37.41542,-78.63584,180,10,22,3.1,2.9,24,0.89,0.28,0.58,0,0.93,8,0.66,1,22,31,47,0,7,254,13.3,194,7,0.88,5.4,0,0,0.9,0.1,0.1,1.2,4,268,5,4,2.2,1.3,165,0.1,2.6,1,13,43,4.3,0.38,0.23,2.3,1.5,0.46,0.6,0.7,0,11,0.8,8,0.2,0.1,-15.89,Low
2092500,3,TRENT RIVER NEAR TRENTON,NC,35.06417,-77.46139,20,3,448,3.8,3.3,21,1,0.27,0.41,0,0.71,11,0.39,44.2,60,20,15,0.4,7,275,16.4,21,19,0.78,3.8,0,5,0.9,0.3,0,1.3,3,254,4.5,4,2.4,1.6,179,0,3.6,6,20,121,2.6,0.26,0.2,1.9,1.5,0.43,3,0.65,0,12,0.6,5,0.4,0.16,-12.54,High
